Line,CPT-4 Code,CPT-4 Procedure
Surgery - Cardiovascular Sys,33427,Repair of mitral valve
Surgery - Cardiovascular Sys,33430,Replacement of mitral valve
Surgery - Cardiovascular Sys,33452,No Longer Valid
Surgery - Cardiovascular Sys,33460,Revision of tricuspid valve
Surgery - Cardiovascular Sys,33463,"Valvuloplasty, tricuspid"
Surgery - Cardiovascular Sys,33464,"Valvuloplasty, tricuspid"
Surgery - Cardiovascular Sys,33465,Replace tricuspid valve
Surgery - Cardiovascular Sys,33468,Revision of tricuspid valve
Surgery - Cardiovascular Sys,33470,Revision of pulmonary valve
Surgery - Cardiovascular Sys,33471,"Valvotomy, pulmonary valve"
Surgery - Cardiovascular Sys,33472,Revision of pulmonary valve
Surgery - Cardiovascular Sys,33474,Revision of pulmonary valve
Surgery - Cardiovascular Sys,33475,"Replacement, pulmonary valve"
Surgery - Cardiovascular Sys,33476,Revision of heart chamber
Surgery - Cardiovascular Sys,33478,Revision of heart chamber
Surgery - Cardiovascular Sys,33496,"Repair, prosth valve clot"
Surgery - Cardiovascular Sys,33500,Repair heart vessel fistula
Surgery - Cardiovascular Sys,33501,Repair heart vessel fistula
Surgery - Cardiovascular Sys,33502,Coronary artery correction
Surgery - Cardiovascular Sys,33503,Coronary artery graft
Surgery - Cardiovascular Sys,33504,Coronary artery graft
Surgery - Cardiovascular Sys,33505,Repair artery w/tunnel
Surgery - Cardiovascular Sys,33506,"Repair artery, translocation"
Surgery - Cardiovascular Sys,33507,"Repair art, intramural"
Surgery - Cardiovascular Sys,33508,Endoscopic vein harvest
Surgery - Cardiovascular Sys,33510,"CABG, vein, single"
Surgery - Cardiovascular Sys,33511,"CABG, vein, two"
Surgery - Cardiovascular Sys,33512,"CABG, vein, three"
Surgery - Cardiovascular Sys,33513,"CABG, vein, four"
Surgery - Cardiovascular Sys,33514,"CABG, vein, five"
Surgery - Cardiovascular Sys,33516,"CABG, vein, six or more"
Surgery - Cardiovascular Sys,33517,"CABG, artery-vein, single"
Surgery - Cardiovascular Sys,33518,"CABG, artery-vein, two"
Surgery - Cardiovascular Sys,33519,"CABG, artery-vein, three"
Surgery - Cardiovascular Sys,33521,"CABG, artery-vein, four"
Surgery - Cardiovascular Sys,33522,"CABG, artery-vein, five"
Surgery - Cardiovascular Sys,33523,"CABG, art-vein, six or more"
Surgery - Cardiovascular Sys,33530,"Coronary artery, bypass/reop"
Surgery - Cardiovascular Sys,33533,"CABG, arterial, single"
Surgery - Cardiovascular Sys,33534,"CABG, arterial, two"
Surgery - Cardiovascular Sys,33535,"CABG, arterial, three"
Surgery - Cardiovascular Sys,33536,"CABG, arterial, four or more"
Surgery - Cardiovascular Sys,33542,Removal of heart lesion
Surgery - Cardiovascular Sys,33545,Repair of heart damage
Surgery - Cardiovascular Sys,33548,"Restore/remodel, ventricle"
Surgery - Cardiovascular Sys,33570,No Longer Valid
Surgery - Cardiovascular Sys,33572,Open coronary endarterectomy
Surgery - Cardiovascular Sys,33575,No Longer Valid
Surgery - Cardiovascular Sys,33600,Closure of valve
Surgery - Cardiovascular Sys,33602,Closure of valve
Surgery - Cardiovascular Sys,33606,Anastomosis/artery-aorta
Surgery - Cardiovascular Sys,33608,Repair anomaly w/conduit
Surgery - Cardiovascular Sys,33610,Repair by enlargement
Surgery - Cardiovascular Sys,33611,Repair double ventricle
Surgery - Cardiovascular Sys,33612,Repair double ventricle
Surgery - Cardiovascular Sys,33615,"Repair, modified fontan"
Surgery - Cardiovascular Sys,33617,Repair single ventricle
Surgery - Cardiovascular Sys,33619,Repair single ventricle
Surgery - Cardiovascular Sys,33641,Repair heart septum defect
Surgery - Cardiovascular Sys,33645,Revision of heart veins
Surgery - Cardiovascular Sys,33647,Repair heart septum defects
Surgery - Cardiovascular Sys,33649,No Longer Valid
Surgery - Cardiovascular Sys,33660,Repair of heart defects
Surgery - Cardiovascular Sys,33665,Repair of heart defects
Surgery - Cardiovascular Sys,33670,Repair of heart chambers
Surgery - Cardiovascular Sys,33675,Close mult vsd
Surgery - Cardiovascular Sys,33676,Close mult vsd w/resection
Surgery - Cardiovascular Sys,33677,Cl mult vsd w/rem pul band
Surgery - Cardiovascular Sys,33681,Repair heart septum defect
Surgery - Cardiovascular Sys,33684,Repair heart septum defect
Surgery - Cardiovascular Sys,33688,Repair heart septum defect
Surgery - Cardiovascular Sys,33690,Reinforce pulmonary artery
Surgery - Cardiovascular Sys,33692,Repair of heart defects
Surgery - Cardiovascular Sys,33694,Repair of heart defects
Surgery - Cardiovascular Sys,33696,No Longer Valid
Surgery - Cardiovascular Sys,33697,Repair of heart defects
Surgery - Cardiovascular Sys,33698,No Longer Valid
Surgery - Cardiovascular Sys,33702,Repair of heart defects
Surgery - Cardiovascular Sys,33710,Repair of heart defects
Surgery - Cardiovascular Sys,33720,Repair of heart defect
Surgery - Cardiovascular Sys,33722,Repair of heart defect
Surgery - Cardiovascular Sys,33724,Repair Venous Anomaly
Surgery - Cardiovascular Sys,33726,Repair pul venous stenosis
Surgery - Cardiovascular Sys,33730,Repair heart-vein defect(s)
Surgery - Cardiovascular Sys,33732,Repair heart-vein defect
Surgery - Cardiovascular Sys,33735,Revision of heart chamber
Surgery - Cardiovascular Sys,33736,Revision of heart chamber
Surgery - Cardiovascular Sys,33737,Revision of heart chamber
Surgery - Cardiovascular Sys,33738,No Longer Valid
Surgery - Cardiovascular Sys,33739,No Longer Valid
Surgery - Cardiovascular Sys,33750,Major vessel shunt
Surgery - Cardiovascular Sys,33755,Major vessel shunt
Surgery - Cardiovascular Sys,33762,Major vessel shunt
Surgery - Cardiovascular Sys,33764,Major vessel shunt & graft
Surgery - Cardiovascular Sys,33766,Major vessel shunt
Surgery - Cardiovascular Sys,33767,Major vessel shunt
Surgery - Cardiovascular Sys,33768,Cavopulmonary shunting
Surgery - Cardiovascular Sys,33770,Repair great vessels defect
Surgery - Cardiovascular Sys,33771,Repair great vessels defect
Surgery - Cardiovascular Sys,33774,Repair great vessels defect
Surgery - Cardiovascular Sys,33775,Repair great vessels defect
Surgery - Cardiovascular Sys,33776,Repair great vessels defect
Surgery - Cardiovascular Sys,33777,Repair great vessels defect
Surgery - Cardiovascular Sys,33778,Repair great vessels defect
Surgery - Cardiovascular Sys,33779,Repair great vessels defect
Surgery - Cardiovascular Sys,33780,Repair great vessels defect
Surgery - Cardiovascular Sys,33781,Repair great vessels defect
Surgery - Cardiovascular Sys,33786,Repair arterial trunk
Surgery - Cardiovascular Sys,33788,Revision of pulmonary artery
Surgery - Cardiovascular Sys,33800,Aortic suspension
Surgery - Cardiovascular Sys,33802,Repair vessel defect
Surgery - Cardiovascular Sys,33803,Repair vessel defect
Surgery - Cardiovascular Sys,33813,Repair septal defect
Surgery - Cardiovascular Sys,33814,Repair septal defect
Surgery - Cardiovascular Sys,33820,Revise major vessel
Surgery - Cardiovascular Sys,33822,Revise major vessel
Surgery - Cardiovascular Sys,33824,Revise major vessel
Surgery - Cardiovascular Sys,33830,No Longer Valid
Surgery - Cardiovascular Sys,33840,Remove aorta constriction
Surgery - Cardiovascular Sys,33845,Remove aorta constriction
Surgery - Cardiovascular Sys,33851,Remove aorta constriction
Surgery - Cardiovascular Sys,33852,Repair septal defect
Surgery - Cardiovascular Sys,33853,Repair septal defect
Surgery - Cardiovascular Sys,33855,No Longer Valid
Surgery - Cardiovascular Sys,33860,Ascending aortic graft
Surgery - Cardiovascular Sys,33861,Ascending aortic graft
Surgery - Cardiovascular Sys,33863,Ascending aortic graft
Surgery - Cardiovascular Sys,33864,Ascending Aortic Graft
Surgery - Cardiovascular Sys,33865,No Longer Valid
Surgery - Cardiovascular Sys,33870,Transverse aortic arch graft
Surgery - Cardiovascular Sys,33875,Thoracic aortic graft
Surgery - Cardiovascular Sys,33877,Thoracoabdominal graft
Surgery - Cardiovascular Sys,33880,Endovasc taa repr incl subcl
Surgery - Cardiovascular Sys,33881,Endovasc taa repr w/o subcl
Surgery - Cardiovascular Sys,33883,"Insert endovasc prosth, taa"
Surgery - Cardiovascular Sys,33884,"Endovasc prosth, taa, add-on"
Surgery - Cardiovascular Sys,33886,"Endovasc prosth, delayed"
Surgery - Cardiovascular Sys,33889,Artery transpose/endovas taa
Surgery - Cardiovascular Sys,33891,Car-car bp grft/endovas taa
Surgery - Cardiovascular Sys,33910,Remove lung artery emboli
Surgery - Cardiovascular Sys,33915,Remove lung artery emboli
Surgery - Cardiovascular Sys,33916,Surgery of great vessel
Surgery - Cardiovascular Sys,33917,Repair pulmonary artery
Surgery - Cardiovascular Sys,33918,No Longer Valid - 06 Repair pulmonary atresia
Surgery - Cardiovascular Sys,33919,No Longer Valid - 06 Repair pulmonary atresia
Surgery - Cardiovascular Sys,33920,Repair pulmonary atresia
Surgery - Cardiovascular Sys,33922,Transect pulmonary artery
Surgery - Cardiovascular Sys,33924,Remove pulmonary shunt
Surgery - Cardiovascular Sys,33925,Rpr pul art unifocal w/o cpb
Surgery - Cardiovascular Sys,33926,"Repr pul art, unifocal w/cpb"
Surgery - Cardiovascular Sys,33930,Removal of donor heart/lung
Surgery - Cardiovascular Sys,33933,Prepare donor heart/lung
Surgery - Cardiovascular Sys,33935,"Transplantation, heart/lung"
Surgery - Cardiovascular Sys,33940,Removal of donor heart
Surgery - Cardiovascular Sys,33944,Prepare donor heart
Surgery - Cardiovascular Sys,33945,Transplantation of heart
Surgery - Cardiovascular Sys,33960,External circulation assist
Surgery - Cardiovascular Sys,33961,External circulation assist
Surgery - Cardiovascular Sys,33967,Insert ia percut device
Surgery - Cardiovascular Sys,33968,Remove aortic assist device
Surgery - Cardiovascular Sys,33970,Aortic circulation assist
Surgery - Cardiovascular Sys,33971,Aortic circulation assist
Surgery - Cardiovascular Sys,33972,No Longer Valid
Surgery - Cardiovascular Sys,33973,Insert balloon device
Surgery - Cardiovascular Sys,33974,Remove intra-aortic balloon
Surgery - Cardiovascular Sys,33975,Implant ventricular device
Surgery - Cardiovascular Sys,33976,Implant ventricular device
Surgery - Cardiovascular Sys,33977,Remove ventricular device
Surgery - Cardiovascular Sys,33978,Remove ventricular device
Surgery - Cardiovascular Sys,33979,Insert intracorporeal device
Surgery - Cardiovascular Sys,33980,Remove intracorporeal device
Surgery - Cardiovascular Sys,33999,Cardiac surgery procedure
Surgery - Cardiovascular Sys,34001,Removal of artery clot
Surgery - Cardiovascular Sys,34051,Removal of artery clot
Surgery - Cardiovascular Sys,34101,Removal of artery clot
Surgery - Cardiovascular Sys,34111,Removal of arm artery clot
Surgery - Cardiovascular Sys,34151,Removal of artery clot
Surgery - Cardiovascular Sys,34201,Removal of artery clot
Surgery - Cardiovascular Sys,34203,Removal of leg artery clot
Surgery - Cardiovascular Sys,34401,Removal of vein clot
Surgery - Cardiovascular Sys,34421,Removal of vein clot
Surgery - Cardiovascular Sys,34451,Removal of vein clot
Surgery - Cardiovascular Sys,34471,Removal of vein clot
Surgery - Cardiovascular Sys,34490,Removal of vein clot
Surgery - Cardiovascular Sys,34501,"Repair valve, femoral vein"
Surgery - Cardiovascular Sys,34502,Reconstruct vena cava
Surgery - Cardiovascular Sys,34510,Transposition of vein valve
Surgery - Cardiovascular Sys,34520,Cross-over vein graft
Surgery - Cardiovascular Sys,34530,Leg vein fusion
Surgery - Cardiovascular Sys,34800,Endovas AAA Repr W/Sm Tube
Surgery - Cardiovascular Sys,34802,Endovas AAA Repr W/2-P Part
Surgery - Cardiovascular Sys,34803,Endovas AAA repr w/3-p part
Surgery - Cardiovascular Sys,34804,Endovas AAA Repr W/1-P Part
Surgery - Cardiovascular Sys,34805,Endovas AAA Repr W/Long Tube
Surgery - Cardiovascular Sys,34806,Aneurysm Press Sensor Add-On
Surgery - Cardiovascular Sys,34808,Endovas Iliac A Device Addon
Surgery - Cardiovascular Sys,34812,"Xpose for endoprosth, femorl"
Surgery - Cardiovascular Sys,34813,Femoral endovas graft add-on
Surgery - Cardiovascular Sys,34820,"Xpose for endoprosth, iliac"
Surgery - Cardiovascular Sys,34825,"Endovasc extend prosth, init"
Surgery - Cardiovascular Sys,34826,"Endovasc exten prosth, add'l"
Surgery - Cardiovascular Sys,34830,Open aortic tube prosth repr
Surgery - Cardiovascular Sys,34831,Open aortoiliac prosth repr
Surgery - Cardiovascular Sys,34832,Open aortofemor prosth repr
Surgery - Cardiovascular Sys,34833,"Xpose for endoprosth, iliac"
Surgery - Cardiovascular Sys,34834,"Xpose, endoprosth, brachial"
Surgery - Cardiovascular Sys,34900,Endovasc iliac repr w/graft
Surgery - Cardiovascular Sys,35001,Repair defect of artery
Surgery - Cardiovascular Sys,35002,"Repair artery rupture, neck"
Surgery - Cardiovascular Sys,35005,Repair defect of artery
Surgery - Cardiovascular Sys,35011,Repair defect of artery
Surgery - Cardiovascular Sys,35013,"Repair artery rupture, arm"
Surgery - Cardiovascular Sys,35021,Repair defect of artery
Surgery - Cardiovascular Sys,35022,"Repair artery rupture, chest"
Surgery - Cardiovascular Sys,35045,Repair defect of arm artery
Surgery - Cardiovascular Sys,35081,Repair defect of artery
Surgery - Cardiovascular Sys,35082,"Repair artery rupture, aorta"
Surgery - Cardiovascular Sys,35091,Repair defect of artery
Surgery - Cardiovascular Sys,35092,"Repair artery rupture, aorta"
Surgery - Cardiovascular Sys,35102,Repair defect of artery
Surgery - Cardiovascular Sys,35103,"Repair artery rupture, groin"
Surgery - Cardiovascular Sys,35111,Repair defect of artery
Surgery - Cardiovascular Sys,35112,"Repair artery rupture,spleen"
Surgery - Cardiovascular Sys,35121,Repair defect of artery
Surgery - Cardiovascular Sys,35122,"Repair artery rupture, belly"
Surgery - Cardiovascular Sys,35131,Repair defect of artery
Surgery - Cardiovascular Sys,35132,"Repair artery rupture, groin"
Surgery - Cardiovascular Sys,35141,Repair defect of artery
Surgery - Cardiovascular Sys,35142,"Repair artery rupture, thigh"
Surgery - Cardiovascular Sys,35151,Repair defect of artery
Surgery - Cardiovascular Sys,35152,"Repair artery rupture, knee"
Surgery - Cardiovascular Sys,35161,No Longer Valid
Surgery - Cardiovascular Sys,35162,No Longer Valid
Surgery - Cardiovascular Sys,35180,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35182,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35184,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35188,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35189,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35190,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35201,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35206,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35207,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35211,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35216,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35221,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35226,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35231,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35236,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35241,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35246,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35251,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35256,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35261,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35266,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35271,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35276,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35281,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35286,Repair blood vessel lesion
Surgery - Cardiovascular Sys,35301,Rechanneling of artery
Surgery - Cardiovascular Sys,35302,Rechanneling Of Artery
Surgery - Cardiovascular Sys,35303,Rechanneling Of Artery
Surgery - Cardiovascular Sys,35304,Rechanneling Of Artery
Surgery - Cardiovascular Sys,35305,Rechanneling Of Artery
Surgery - Cardiovascular Sys,35306,Rechanneling Of Artery
Surgery - Cardiovascular Sys,35311,Rechanneling of artery
Surgery - Cardiovascular Sys,35321,Rechanneling of artery
Surgery - Cardiovascular Sys,35331,Rechanneling of artery
Surgery - Cardiovascular Sys,35341,Rechanneling of artery
Surgery - Cardiovascular Sys,35351,Rechanneling of artery
Surgery - Cardiovascular Sys,35355,Rechanneling of artery
Surgery - Cardiovascular Sys,35361,Rechanneling of artery
Surgery - Cardiovascular Sys,35363,Rechanneling of artery
Surgery - Cardiovascular Sys,35371,Rechanneling of artery
Surgery - Cardiovascular Sys,35372,Rechanneling of artery
Surgery - Cardiovascular Sys,35381,No Longer Valid - 07 Rechanneling of artery
Surgery - Cardiovascular Sys,35390,"Reoperation, carotid add-on"
Surgery - Cardiovascular Sys,35400,Angioscopy
Surgery - Cardiovascular Sys,35450,Repair arterial blockage
Surgery - Cardiovascular Sys,35452,Repair arterial blockage
Surgery - Cardiovascular Sys,35454,Repair arterial blockage
Surgery - Cardiovascular Sys,35456,Repair arterial blockage
Surgery - Cardiovascular Sys,35458,Repair arterial blockage
Surgery - Cardiovascular Sys,35459,Repair arterial blockage
Surgery - Cardiovascular Sys,35460,Repair venous blockage
Surgery - Cardiovascular Sys,35470,Repair arterial blockage
Surgery - Cardiovascular Sys,35471,Repair arterial blockage
Surgery - Cardiovascular Sys,35472,Repair arterial blockage
Surgery - Cardiovascular Sys,35473,Repair arterial blockage
Surgery - Cardiovascular Sys,35474,Repair arterial blockage
Surgery - Cardiovascular Sys,35475,Repair arterial blockage
Surgery - Cardiovascular Sys,35476,Repair venous blockage
Surgery - Cardiovascular Sys,35480,"Atherectomy, open"
Surgery - Cardiovascular Sys,35481,"Atherectomy, open"
Surgery - Cardiovascular Sys,35482,"Atherectomy, open"
Surgery - Cardiovascular Sys,35483,"Atherectomy, open"
Surgery - Cardiovascular Sys,35484,"Atherectomy, open"
Surgery - Cardiovascular Sys,35485,"Atherectomy, open"
Surgery - Cardiovascular Sys,35490,"Atherectomy, percutaneous"
Surgery - Cardiovascular Sys,35491,"Atherectomy, percutaneous"
Surgery - Cardiovascular Sys,35492,"Atherectomy, percutaneous"
Surgery - Cardiovascular Sys,35493,"Atherectomy, percutaneous"
Surgery - Cardiovascular Sys,35494,"Atherectomy, percutaneous"
Surgery - Cardiovascular Sys,35495,"Atherectomy, percutaneous"
Surgery - Cardiovascular Sys,35500,Harvest vein for bypass
Surgery - Cardiovascular Sys,35501,Artery bypass graft
Surgery - Cardiovascular Sys,35506,Artery bypass graft
Surgery - Cardiovascular Sys,35507,No Longer Valid - 07 Artery bypass graft
Surgery - Cardiovascular Sys,35508,Artery bypass graft
Surgery - Cardiovascular Sys,35509,Artery bypass graft
Surgery - Cardiovascular Sys,35510,Artery bypass graft
Surgery - Cardiovascular Sys,35511,Artery bypass graft
Surgery - Cardiovascular Sys,35512,Artery bypass graft
Surgery - Cardiovascular Sys,35515,Artery bypass graft
Surgery - Cardiovascular Sys,35516,Artery bypass graft
Surgery - Cardiovascular Sys,35518,Artery bypass graft
Surgery - Cardiovascular Sys,35521,Artery bypass graft
Surgery - Cardiovascular Sys,35522,Artery bypass graft
Surgery - Cardiovascular Sys,35523,Artery bypass graft
Surgery - Cardiovascular Sys,35525,Artery bypass graft
Surgery - Cardiovascular Sys,35526,Artery bypass graft
Surgery - Cardiovascular Sys,35531,Artery bypass graft
Surgery - Cardiovascular Sys,35533,Artery bypass graft
Surgery - Cardiovascular Sys,35535,Artery bypass graft
Surgery - Cardiovascular Sys,35536,Artery bypass graft
Surgery - Cardiovascular Sys,35537,Artery bypass graft
Surgery - Cardiovascular Sys,35538,Artery bypass graft
Surgery - Cardiovascular Sys,35539,Artery bypass graft
Surgery - Cardiovascular Sys,35540,Artery bypass graft
Surgery - Cardiovascular Sys,35541,No Longer Valid - 07 Artery bypass graft
Surgery - Cardiovascular Sys,35546,No Longer Valid - 07 Artery bypass graft
Surgery - Cardiovascular Sys,35548,Artery bypass graft
Surgery - Cardiovascular Sys,35549,Artery bypass graft
Surgery - Cardiovascular Sys,35551,Artery bypass graft
Surgery - Cardiovascular Sys,35556,Artery bypass graft
Surgery - Cardiovascular Sys,35558,Artery bypass graft
Surgery - Cardiovascular Sys,35560,Artery bypass graft
Surgery - Cardiovascular Sys,35563,Artery bypass graft
Surgery - Cardiovascular Sys,35565,Artery bypass graft
Surgery - Cardiovascular Sys,35566,Artery bypass graft
Surgery - Cardiovascular Sys,35570,Artery bypass graft
Surgery - Cardiovascular Sys,35571,Artery bypass graft
Surgery - Cardiovascular Sys,35572,Harvest femoropopliteal vein
Surgery - Cardiovascular Sys,35582,No Longer Valid
Surgery - Cardiovascular Sys,35583,Vein bypass graft
Surgery - Cardiovascular Sys,35585,Vein bypass graft
Surgery - Cardiovascular Sys,35587,Vein bypass graft
Surgery - Cardiovascular Sys,35600,Harvest art for cabg add-on
Surgery - Cardiovascular Sys,35601,Artery bypass graft
Surgery - Cardiovascular Sys,35606,Artery bypass graft
Surgery - Cardiovascular Sys,35612,Artery bypass graft
Surgery - Cardiovascular Sys,35616,Artery bypass graft
Surgery - Cardiovascular Sys,35621,Artery bypass graft
Surgery - Cardiovascular Sys,35623,"Bypass graft, not vein"
Surgery - Cardiovascular Sys,35626,Artery bypass graft
Surgery - Cardiovascular Sys,35631,Artery bypass graft
Surgery - Cardiovascular Sys,35632,Artery bypass graft
Surgery - Cardiovascular Sys,35633,Artery bypass graft
Surgery - Cardiovascular Sys,35634,Artery bypass graft
Surgery - Cardiovascular Sys,35636,Artery bypass graft
Surgery - Cardiovascular Sys,35637,Artery bypass graft
Surgery - Cardiovascular Sys,35638,Artery bypass graft
Surgery - Cardiovascular Sys,35641,No Longer Valid - 07 Artery bypass graft
Surgery - Cardiovascular Sys,35642,Artery bypass graft
Surgery - Cardiovascular Sys,35645,Artery bypass graft
Surgery - Cardiovascular Sys,35646,Artery bypass graft
Surgery - Cardiovascular Sys,35647,Artery bypass graft
Surgery - Cardiovascular Sys,35650,Artery bypass graft
Surgery - Cardiovascular Sys,35651,Artery bypass graft
Surgery - Cardiovascular Sys,35654,Artery bypass graft
Surgery - Cardiovascular Sys,35656,Artery bypass graft
Surgery - Cardiovascular Sys,35661,Artery bypass graft
Surgery - Cardiovascular Sys,35663,Artery bypass graft
Surgery - Cardiovascular Sys,35665,Artery bypass graft
Surgery - Cardiovascular Sys,35666,Artery bypass graft
Surgery - Cardiovascular Sys,35671,Artery bypass graft
Surgery - Cardiovascular Sys,35681,Composite bypass graft
Surgery - Cardiovascular Sys,35682,Composite bypass graft
Surgery - Cardiovascular Sys,35683,Composite bypass graft
Surgery - Cardiovascular Sys,35685,Bypass graft patency/patch
Surgery - Cardiovascular Sys,35686,Bypass graft/av fist patency
Surgery - Cardiovascular Sys,35691,Arterial transposition
Surgery - Cardiovascular Sys,35693,Arterial transposition
Surgery - Cardiovascular Sys,35694,Arterial transposition
Surgery - Cardiovascular Sys,35695,Arterial transposition
Surgery - Cardiovascular Sys,35697,Reimplant artery each
Surgery - Cardiovascular Sys,35700,"Reoperation, bypass graft"
Surgery - Cardiovascular Sys,35701,"Exploration, carotid artery"
Surgery - Cardiovascular Sys,35721,"Exploration, femoral artery"
Surgery - Cardiovascular Sys,35741,Exploration popliteal artery
Surgery - Cardiovascular Sys,35761,Exploration of artery/vein
Surgery - Cardiovascular Sys,35800,Explore neck vessels
Surgery - Cardiovascular Sys,35820,Explore chest vessels
Surgery - Cardiovascular Sys,35840,Explore abdominal vessels
Surgery - Cardiovascular Sys,35860,Explore limb vessels
Surgery - Cardiovascular Sys,35870,Repair vessel graft defect
Surgery - Cardiovascular Sys,35875,Removal of clot in graft
Surgery - Cardiovascular Sys,35876,Removal of clot in graft
Surgery - Cardiovascular Sys,35879,Revise graft w/vein
Surgery - Cardiovascular Sys,35881,Revise graft w/vein
Surgery - Cardiovascular Sys,35883,Revise graft w/nonauto graft
Surgery - Cardiovascular Sys,35884,Revise graft w/vein
Surgery - Cardiovascular Sys,35900,No Longer Valid
Surgery - Cardiovascular Sys,35901,"Excision, graft, neck"
Surgery - Cardiovascular Sys,35903,"Excision, graft, extremity"
Surgery - Cardiovascular Sys,35905,"Excision, graft, thorax"
Surgery - Cardiovascular Sys,35907,"Excision, graft, abdomen"
Surgery - Cardiovascular Sys,35910,No Longer Valid
Surgery - Cardiovascular Sys,36000,Place needle in vein
Surgery - Cardiovascular Sys,36002,Pseudoaneurysm injection trt
Surgery - Cardiovascular Sys,36005,Injection ext venography
Surgery - Cardiovascular Sys,36010,Place catheter in vein
Surgery - Cardiovascular Sys,36011,Place catheter in vein
Surgery - Cardiovascular Sys,36012,Place catheter in vein
Surgery - Cardiovascular Sys,36013,Place catheter in artery
Surgery - Cardiovascular Sys,36014,Place catheter in artery
Surgery - Cardiovascular Sys,36015,Place catheter in artery
Surgery - Cardiovascular Sys,36100,Establish access to artery
Surgery - Cardiovascular Sys,36120,Establish access to artery
Surgery - Cardiovascular Sys,36140,Establish access to artery
Surgery - Cardiovascular Sys,36145,Artery to vein shunt
Surgery - Cardiovascular Sys,36160,Establish access to aorta
Surgery - Cardiovascular Sys,36200,Place catheter in aorta
Surgery - Cardiovascular Sys,36215,Place catheter in artery
Surgery - Cardiovascular Sys,36216,Place catheter in artery
Surgery - Cardiovascular Sys,36217,Place catheter in artery
Surgery - Cardiovascular Sys,36218,Place catheter in artery
Surgery - Cardiovascular Sys,36230,No Longer Valid
Surgery - Cardiovascular Sys,36245,Place catheter in artery
Surgery - Cardiovascular Sys,36246,Place catheter in artery
Surgery - Cardiovascular Sys,36247,Place catheter in artery
Surgery - Cardiovascular Sys,36248,Place catheter in artery
Infusion Care,36260,Insertion of infusion pump
Infusion Care,36261,Revision of infusion pump
Infusion Care,36262,Removal of infusion pump
Surgery - Cardiovascular Sys,36299,Vessel injection procedure
Other Medical Services,36400,Bl draw < 3 yrs fem/jugular Other Medical Services
Other Medical Services,36405, Bl draw < 3 yrs scalp vein Other Medical Services
Other Medical Services,36406,Bl draw < 3 yrs other vein Other Medical Services
Other Medical Services,36410, Non-routine bl draw > 3 yrs Other Medical Services
Other Medical Services,36415,Routine Venipuncture
Other Medical Services,36416,Capillary blood draw
Other Medical Services,36420,Vein access cutdown < 1 yr
Other Medical Services,36425,Vein access cutdown > 1 yr
Surgery - Cardiovascular Sys,36430,Blood transfusion service
Surgery - Cardiovascular Sys,36440,"Bl push transfuse, 2 yr or <"
Surgery - Cardiovascular Sys,36450,"Bl exchange/transfuse, nb"
Surgery - Cardiovascular Sys,36455,Bl exchange/transfuse non-nb
Surgery - Cardiovascular Sys,36460,"Transfusion service, fetal"
Surgery - Cardiovascular Sys,36468,"Injection(s), spider veins"
Surgery - Cardiovascular Sys,36469,"Injection(s), spider veins"
Surgery - Cardiovascular Sys,36470,Injection therapy of vein
Surgery - Cardiovascular Sys,36471,Injection therapy of veins
Surgery - Cardiovascular Sys,36475,"Endovenous rf, 1st vein"
Surgery - Cardiovascular Sys,36476,"Endovenous rf, vein add-on"
Surgery - Cardiovascular Sys,36478,"Endovenous laser, 1st vein"
Surgery - Cardiovascular Sys,36479,Endovenous laser vein addon
Surgery - Cardiovascular Sys,36481,"Insertion of catheter, vein"
Surgery - Cardiovascular Sys,36488,No Longer Valid
Surgery - Cardiovascular Sys,36489,No Longer Valid
Surgery - Cardiovascular Sys,36490,No Longer Valid
Surgery - Cardiovascular Sys,36491,No Longer Valid
Surgery - Cardiovascular Sys,36493,No Longer Valid
Surgery - Cardiovascular Sys,36500,"Insertion of catheter, vein"
Surgery - Cardiovascular Sys,36510,"Insertion of catheter, vein"
Surgery - Cardiovascular Sys,36511,Apheresis wbc
Surgery - Cardiovascular Sys,36512,Apheresis rbc
Surgery - Cardiovascular Sys,36513,Apheresis platelets
